epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,684.186,1.28061,1.01766,1.26162,0.75524,0.75713,0.78606,0.43586,1.39085,0.61261,1.24733,0.00999353,0.00333118,0.00999353,0.00333118,0.00999353,0.00333118,0.00999353,0.00333118
2,1281.27,1.24194,0.77069,1.20684,0.75295,0.69285,0.7372,0.41124,1.38893,0.69409,1.3034,0.0195977,0.00653255,0.0195977,0.00653255,0.0195977,0.00653255,0.0195977,0.00653255
3,1849.41,1.28366,0.85298,1.25323,0.64134,0.67575,0.6803,0.38002,1.39936,0.74021,1.3586,0.0288058,0.00960193,0.0288058,0.00960193,0.0288058,0.00960193,0.0288058,0.00960193
4,2403.1,1.28952,0.84311,1.268,0.70438,0.72075,0.71919,0.40184,1.3882,0.71046,1.32333,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2954.55,1.23732,0.7669,1.23381,0.70182,0.70946,0.72753,0.41715,1.30481,0.61838,1.26858,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3503.87,1.19586,0.71405,1.21131,0.75342,0.77544,0.80124,0.45831,1.25527,0.56606,1.23847,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4053.46,1.16691,0.67269,1.19526,0.79104,0.7229,0.78528,0.45539,1.21694,0.57011,1.22449,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4604.59,1.1404,0.64111,1.17579,0.7885,0.74131,0.78548,0.46854,1.18904,0.5355,1.20537,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5154.46,1.12637,0.62057,1.16462,0.80003,0.76274,0.81343,0.47848,1.22212,0.52971,1.2185,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5704.79,1.10691,0.5988,1.15854,0.75592,0.77486,0.79829,0.48502,1.19316,0.49583,1.20695,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6255.41,1.08915,0.58112,1.14574,0.78968,0.74011,0.80141,0.48936,1.16848,0.49631,1.18643,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,6805.89,1.073,0.56659,1.13803,0.77254,0.78411,0.80712,0.47826,1.19272,0.48933,1.19985,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7355.48,1.05893,0.54916,1.12772,0.79674,0.75108,0.79536,0.48079,1.1763,0.48296,1.18779,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,7906.43,1.04958,0.54145,1.12725,0.76387,0.80055,0.80315,0.48505,1.16652,0.46566,1.18371,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,8457.98,1.04061,0.53398,1.1206,0.77099,0.80496,0.81934,0.4908,1.15426,0.46274,1.17121,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9010.03,1.02595,0.51681,1.1076,0.8362,0.78751,0.82822,0.50403,1.15143,0.44826,1.17204,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,9561.33,1.01906,0.51114,1.10658,0.81353,0.75906,0.80559,0.49118,1.14856,0.45421,1.17303,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,10112.3,1.00823,0.50144,1.09744,0.82079,0.79738,0.81938,0.49463,1.14793,0.44904,1.17062,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,10665.1,0.99556,0.49371,1.09385,0.82926,0.77487,0.82904,0.49462,1.14712,0.43774,1.17182,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,11213.8,0.97866,0.48622,1.08409,0.79078,0.82054,0.83254,0.50473,1.13672,0.43239,1.16487,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
